Directory,URICount,Category,TotalURIs
2012-09,3571,Total,3571
2012-09,968,OADS,3571
2012-09,2537,NonOADS,3571
2012-09,35,SourceForge,3571
2012-09,21,GitHub,3571
2012-09,0,GitLab,3571
2012-09,10,Bitbucket,3571
2010-08,2926,Total,2926
2010-08,801,OADS,2926
2010-08,2094,NonOADS,2926
2010-08,29,SourceForge,2926
2010-08,1,GitHub,2926
2010-08,0,GitLab,2926
2010-08,1,Bitbucket,2926
2017-10,7134,Total,7134
2017-10,1726,OADS,7134
2017-10,4708,NonOADS,7134
2017-10,36,SourceForge,7134
2017-10,641,GitHub,7134
2017-10,4,GitLab,7134
2017-10,19,Bitbucket,7134
2008-02,1863,Total,1863
2008-02,462,OADS,1863
2008-02,1391,NonOADS,1863
2008-02,10,SourceForge,1863
2008-02,0,GitHub,1863
2008-02,0,GitLab,1863
2008-02,0,Bitbucket,1863
2012-05,1866,Total,1866
2012-05,490,OADS,1866
2012-05,1346,NonOADS,1866
2012-05,22,SourceForge,1866
2012-05,8,GitHub,1866
2012-05,0,GitLab,1866
2012-05,0,Bitbucket,1866
2016-02,3589,Total,3589
2016-02,898,OADS,3589
2016-02,2474,NonOADS,3589
2016-02,28,SourceForge,3589
2016-02,170,GitHub,3589
2016-02,1,GitLab,3589
2016-02,18,Bitbucket,3589
2009-10,2734,Total,2734
2009-10,732,OADS,2734
2009-10,1979,NonOADS,2734
2009-10,23,SourceForge,2734
2009-10,0,GitHub,2734
2009-10,0,GitLab,2734
2009-10,0,Bitbucket,2734
2013-01,1,Total,1
2013-01,0,OADS,1
2013-01,1,NonOADS,1
2013-01,0,SourceForge,1
2013-01,0,GitHub,1
2013-01,0,GitLab,1
2013-01,0,Bitbucket,1
2009-06,2867,Total,2867
2009-06,724,OADS,2867
2009-06,2107,NonOADS,2867
2009-06,32,SourceForge,2867
2009-06,3,GitHub,2867
2009-06,0,GitLab,2867
2009-06,1,Bitbucket,2867
2017-06,9168,Total,9168
2017-06,2278,OADS,9168
2017-06,6060,NonOADS,9168
2017-06,51,SourceForge,9168
2017-06,745,GitHub,9168
2017-06,8,GitLab,9168
2017-06,26,Bitbucket,9168
2010-04,2912,Total,2912
2010-04,711,OADS,2912
2010-04,2181,NonOADS,2912
2010-04,20,SourceForge,2912
2010-04,0,GitHub,2912
2010-04,0,GitLab,2912
2010-04,0,Bitbucket,2912
2019-07,15650,Total,15650
2019-07,3071,OADS,15650
2019-07,10479,NonOADS,15650
2019-07,46,SourceForge,15650
2019-07,1993,GitHub,15650
2019-07,23,GitLab,15650
2019-07,38,Bitbucket,15650
2015-11,5175,Total,5175
2015-11,1419,OADS,5175
2015-11,3439,NonOADS,5175
2015-11,33,SourceForge,5175
2015-11,274,GitHub,5175
2015-11,1,GitLab,5175
2015-11,9,Bitbucket,5175
2020-14,1,Total,1
2020-14,0,OADS,1
2020-14,1,NonOADS,1
2020-14,0,SourceForge,1
2020-14,0,GitHub,1
2020-14,0,GitLab,1
2020-14,0,Bitbucket,1
2014-03,5419,Total,5419
2014-03,1492,OADS,5419
2014-03,3785,NonOADS,5419
2014-03,57,SourceForge,5419
2014-03,80,GitHub,5419
2014-03,0,GitLab,5419
2014-03,5,Bitbucket,5419
2007-07,1938,Total,1938
2007-07,507,OADS,1938
2007-07,1416,NonOADS,1938
2007-07,15,SourceForge,1938
2007-07,0,GitHub,1938
2007-07,0,GitLab,1938
2007-07,0,Bitbucket,1938
2021-06,24553,Total,24553
2021-06,4185,OADS,24553
2021-06,15991,NonOADS,24553
2021-06,40,SourceForge,24553
2021-06,4263,GitHub,24553
2021-06,48,GitLab,24553
2021-06,26,Bitbucket,24553
2018-03,11447,Total,11447
2018-03,2567,OADS,11447
2018-03,7712,NonOADS,11447
2018-03,40,SourceForge,11447
2018-03,1098,GitHub,11447
2018-03,6,GitLab,11447
2018-03,24,Bitbucket,11447
2007-11,2073,Total,2073
2007-11,542,OADS,2073
2007-11,1520,NonOADS,2073
2007-11,10,SourceForge,2073
2007-11,1,GitHub,2073
2007-11,0,GitLab,2073
2007-11,0,Bitbucket,2073
2021-10,16038,Total,16038
2021-10,3052,OADS,16038
2021-10,10170,NonOADS,16038
2021-10,28,SourceForge,16038
2021-10,2736,GitHub,16038
2021-10,33,GitLab,16038
2021-10,19,Bitbucket,16038
2019-11,12502,Total,12502
2019-11,2258,OADS,12502
2019-11,8270,NonOADS,12502
2019-11,35,SourceForge,12502
2019-11,1893,GitHub,12502
2019-11,28,GitLab,12502
2019-11,18,Bitbucket,12502
2010-12,3223,Total,3223
2010-12,859,OADS,3223
2010-12,2332,NonOADS,3223
2010-12,28,SourceForge,3223
2010-12,4,GitHub,3223
2010-12,0,GitLab,3223
2010-12,0,Bitbucket,3223
